"","Package","Version"
"abind","abind","1.4-8"
"askpass","askpass","1.2.1"
"backports","backports","1.5.0"
"base64enc","base64enc","0.1-3"
"bit","bit","4.6.0"
"bit64","bit64","4.6.0-1"
"broom","broom","1.0.8"
"bslib","bslib","0.9.0"
"cachem","cachem","1.1.0"
"car","car","3.1-3"
"carData","carData","3.0-5"
"cellranger","cellranger","1.1.0"
"cli","cli","3.6.5"
"clipr","clipr","0.8.0"
"corrplot","corrplot","0.95"
"cowplot","cowplot","1.1.3"
"cpp11","cpp11","0.5.2"
"crayon","crayon","1.5.3"
"curl","curl","6.2.2"
"data.table","data.table","1.17.0"
"Deriv","Deriv","4.1.6"
"DescTools","DescTools","0.99.60"
"digest","digest","0.6.37"
"doBy","doBy","4.6.26"
"dplyr","dplyr","1.1.4"
"e1071","e1071","1.7-16"
"evaluate","evaluate","1.0.3"
"Exact","Exact","3.3"
"expm","expm","1.0-0"
"fansi","fansi","1.0.6"
"farver","farver","2.1.2"
"fastmap","fastmap","1.2.0"
"fontawesome","fontawesome","0.5.3"
"forcats","forcats","1.0.0"
"Formula","Formula","1.2-5"
"fs","fs","1.6.6"
"generics","generics","0.1.3"
"ggplot2","ggplot2","3.5.2"
"gld","gld","2.6.7"
"glue","glue","1.8.0"
"gtable","gtable","0.3.6"
"haven","haven","2.5.4"
"highr","highr","0.11"
"hms","hms","1.1.3"
"htmltools","htmltools","0.5.8.1"
"httr","httr","1.4.7"
"isoband","isoband","0.2.7"
"jquerylib","jquerylib","0.1.4"
"jsonlite","jsonlite","2.0.0"
"knitr","knitr","1.50"
"labeling","labeling","0.4.3"
"lifecycle","lifecycle","1.0.4"
"lme4","lme4","1.1-37"
"lmom","lmom","3.2"
"lubridate","lubridate","1.9.4"
"magrittr","magrittr","2.0.3"
"MatrixModels","MatrixModels","0.5-4"
"memoise","memoise","2.0.1"
"microbenchmark","microbenchmark","1.5.0"
"mime","mime","0.13"
"minqa","minqa","1.2.8"
"modelr","modelr","0.1.11"
"mvtnorm","mvtnorm","1.3-3"
"nloptr","nloptr","2.2.1"
"numDeriv","numDeriv","2016.8-1.1"
"openssl","openssl","2.3.2"
"openxlsx","openxlsx","4.2.8"
"pbapply","pbapply","1.7-2"
"pbkrtest","pbkrtest","0.5.3"
"pillar","pillar","1.10.2"
"pkgconfig","pkgconfig","2.0.3"
"plyr","plyr","1.8.9"
"prettyR","prettyR","2.2-3"
"prettyunits","prettyunits","1.2.0"
"pROC","pROC","1.18.5"
"progress","progress","1.2.3"
"proxy","proxy","0.4-27"
"purrr","purrr","1.0.4"
"quantreg","quantreg","6.1"
"R6","R6","2.6.1"
"rappdirs","rappdirs","0.3.3"
"rbibutils","rbibutils","2.3"
"RColorBrewer","RColorBrewer","1.1-3"
"Rcpp","Rcpp","1.0.14"
"RcppEigen","RcppEigen","0.3.4.0.2"
"Rdpack","Rdpack","2.6.4"
"readr","readr","2.1.5"
"readxl","readxl","1.4.5"
"reformulas","reformulas","0.4.0"
"rematch","rematch","2.0.0"
"ResourceSelection","ResourceSelection","0.3-6"
"rJava","rJava","1.0-11"
"rlang","rlang","1.1.6"
"rmarkdown","rmarkdown","2.29"
"rootSolve","rootSolve","1.8.2.4"
"rstatix","rstatix","0.7.2"
"rstudioapi","rstudioapi","0.17.1"
"sass","sass","0.4.10"
"scales","scales","1.4.0"
"SparseM","SparseM","1.84-2"
"stringi","stringi","1.8.7"
"stringr","stringr","1.5.1"
"sys","sys","3.4.3"
"tibble","tibble","3.2.1"
"tidyr","tidyr","1.3.1"
"tidyselect","tidyselect","1.2.1"
"timechange","timechange","0.3.0"
"tinytex","tinytex","0.57"
"tzdb","tzdb","0.5.0"
"utf8","utf8","1.2.4"
"vctrs","vctrs","0.6.5"
"viridisLite","viridisLite","0.4.2"
"vroom","vroom","1.6.5"
"withr","withr","3.0.2"
"xfun","xfun","0.52"
"xlsx","xlsx","0.6.5"
"xlsxjars","xlsxjars","0.6.1"
"yaml","yaml","2.3.10"
"zip","zip","2.3.2"
"translations","translations","4.5.0"
